RegionWorldBank,SubregionName,CountryName,SurveyYear,Residence,prop_dom,prop_dom_low,prop_dom_upp
Europe & Central Asia,West Asia,Armenia,2016,rural,0,0,0
Europe & Central Asia,West Asia,Azerbaijan,2006,urban,0.08403363401142373,0.060678598862715274,0.10738866916013219
Europe & Central Asia,West Asia,Azerbaijan,2006,rural,0.3462085758818127,0.2720843722979024,0.420332779465723
Europe & Central Asia,West Asia,Turkey,2013,urban,0.010297544127696883,0.005191996432144324,0.015403091823249442
Europe & Central Asia,West Asia,Turkey,2013,rural,0.0691739310479677,0.04725225407544754,0.09109560802048786
Latin America & Caribbean,Caribbean,Dominican Republic,2013,urban,0.00664322385361868,0.00254174446828885,0.010744703238948512
Latin America & Caribbean,Caribbean,Dominican Republic,2013,rural,0.018773925563474545,0.00921803763734843,0.02832981348960066
Latin America & Caribbean,Caribbean,Haiti,2016,urban,0.38978358193848317,0.3457556759483815,0.4338114879285848
Latin America & Caribbean,Caribbean,Haiti,2016,rural,0.7058028113314037,0.6727145316408328,0.7388910910219745
Latin America & Caribbean,Central America,Guatemala,2015,urban,0.16272665477191506,0.1288138090769343,0.19663950046689582
Latin America & Caribbean,Central America,Guatemala,2015,rural,0.4458574627290473,0.41126809722651914,0.4804468282315755
Latin America & Caribbean,Central America,Honduras,2011,urban,0.05484355038850155,0.04394410680158088,0.06574299397542221
Latin America & Caribbean,Central America,Honduras,2011,rural,0.26736983392182295,0.24521367043849937,0.2895259974051465
Latin America & Caribbean,South America,Bolivia,2008,urban,0.1199881550281394,0.10167236388091024,0.13830394617536856
Latin America & Caribbean,South America,Bolivia,2008,rural,0.5562787112249395,0.519928720879455,0.5926287015704241
Latin America & Caribbean,South America,Colombia,2015,urban,0.004506459446825959,0.0026154348315352996,0.006397484062116618
Latin America & Caribbean,South America,Colombia,2015,rural,0.08775953530724219,0.0703914440864941,0.10512762652799028
Latin America & Caribbean,South America,Guyana,2009,urban,0.015242859949187532,0.0019652767978474792,0.028520443100527586
Latin America & Caribbean,South America,Guyana,2009,rural,0.1055564983931014,0.08065447424281298,0.1304585225433898
Latin America & Caribbean,South America,Peru,2012,urban,0.04347732416000636,0.034099842777451456,0.052854805542561265
Latin America & Caribbean,South America,Peru,2012,rural,0.3383590934893583,0.3009946942889798,0.37572349268973676
Middle East & North Africa,North Africa,Egypt,2014,urban,0.06273756307308741,0.05186728541638384,0.07360784072979097
Middle East & North Africa,North Africa,Egypt,2014,rural,0.16297345578869235,0.14692528094252927,0.17902163063485543
Middle East & North Africa,North Africa,Morocco,2003,urban,0.164251517957298,0.13689089789273307,0.19161213802186294
Middle East & North Africa,North Africa,Morocco,2003,rural,0.6108147821088229,0.5713682882855765,0.6502612759320693
Middle East & North Africa,West Asia,Jordan,2017,urban,0.010235593409416693,0.006307185561324393,0.014164001257508992
Middle East & North Africa,West Asia,Jordan,2017,rural,0.001934730902971771,3.506554695482237e-4,0.0035188063363953185
Middle East & North Africa,West Asia,Yemen,2013,urban,0.49543033188983227,0.4587761512848386,0.5320845124948259
Middle East & North Africa,West Asia,Yemen,2013,rural,0.7609554553629315,0.7406556210794463,0.7812552896464168
South Asia,South Asia,Afghanistan,2015,urban,0.23296026212660212,0.19192604964518256,0.2739944746080217
South Asia,South Asia,Afghanistan,2015,rural,0.5904826824290339,0.547743905482929,0.6332214593751389
South Asia,South Asia,Bangladesh,2014,urban,0.42308838679368654,0.37918366536046655,0.46699310822690654
South Asia,South Asia,Bangladesh,2014,rural,0.6906692992661497,0.6589807214782056,0.7223578770540938
South Asia,South Asia,India,2015,urban,0.1112206596266027,0.10489512510253057,0.11754619415067483
South Asia,South Asia,India,2015,rural,0.24582610867218796,0.24154618678774772,0.2501060305566282
South Asia,South Asia,Maldives,2016,urban,0.013044231551053715,-0.001080756897045657,0.027169219999153088
South Asia,South Asia,Maldives,2016,rural,0.0018911044327006067,3.1733718653147234e-4,0.0034648716788697412
South Asia,South Asia,Nepal,2016,urban,0.31392386506120046,0.2691294725857486,0.3587182575366523
South Asia,South Asia,Nepal,2016,rural,0.5647131066790604,0.5173123257254127,0.612113887632708
South Asia,South Asia,Pakistan,2017,urban,0.1891661057478997,0.1588120296812873,0.21952018181451208
South Asia,South Asia,Pakistan,2017,rural,0.4058255833102518,0.36595688725032915,0.4456942793701745
Sub-Saharan Africa,Eastern Africa,Burundi,2016,urban,0.04019077477013954,0.024296649410155705,0.05608490013012338
Sub-Saharan Africa,Eastern Africa,Burundi,2016,rural,0.12699121398415367,0.11483886548296965,0.13914356248533769
Sub-Saharan Africa,Eastern Africa,Comoros,2012,urban,0.10362259745496395,0.06956487447087861,0.1376803204390493
Sub-Saharan Africa,Eastern Africa,Comoros,2012,rural,0.2595687546768793,0.22236672454399098,0.2967707848097676
Sub-Saharan Africa,Eastern Africa,Ethiopia,2016,urban,0.2056091663974517,0.12794261734664203,0.28327571544826136
Sub-Saharan Africa,Eastern Africa,Ethiopia,2016,rural,0.7899614738508982,0.7611605695827374,0.818762378119059
Sub-Saharan Africa,Eastern Africa,Kenya,2014,urban,0.1673008888050297,0.14846835530491326,0.18613342230514612
Sub-Saharan Africa,Eastern Africa,Kenya,2014,rural,0.4890967278213941,0.467723375174556,0.5104700804682322
Sub-Saharan Africa,Eastern Africa,Madagascar,2008,urban,0.39351810999864184,0.3537822404644825,0.4332539795328012
Sub-Saharan Africa,Eastern Africa,Madagascar,2008,rural,0.6667078105491016,0.6371423151348321,0.696273305963371
Sub-Saharan Africa,Eastern Africa,Malawi,2015,urban,0.029727172664060775,0.016659380337687178,0.04279496499043437
Sub-Saharan Africa,Eastern Africa,Malawi,2015,rural,0.07728359688521076,0.06686031277475249,0.08770688099566903
Sub-Saharan Africa,Eastern Africa,Mozambique,2011,urban,0.16006903480204468,0.1227935776784792,0.19734449192561015
Sub-Saharan Africa,Eastern Africa,Mozambique,2011,rural,0.5350800378381354,0.49618778298541616,0.5739722926908547
Sub-Saharan Africa,Eastern Africa,Rwanda,2015,urban,0.026240499780425797,0.016743797816729925,0.03573720174412167
Sub-Saharan Africa,Eastern Africa,Rwanda,2015,rural,0.08934596164141383,0.07663548938167229,0.10205643390115536
Sub-Saharan Africa,Eastern Africa,Tanzania,2015,urban,0.12846276314407679,0.07250655452899846,0.18441897175915511
Sub-Saharan Africa,Eastern Africa,Tanzania,2015,rural,0.4420845596476149,0.4091152875130044,0.4750538317822254
Sub-Saharan Africa,Eastern Africa,Uganda,2016,urban,0.11491968350451956,0.0926340950681029,0.13720527194093624
Sub-Saharan Africa,Eastern Africa,Uganda,2016,rural,0.2891468480263306,0.26809830643881893,0.3101953896138423
Sub-Saharan Africa,Eastern Africa,Zambia,2018,urban,0.06379569748268793,0.0458997679035191,0.08169162706185676
Sub-Saharan Africa,Eastern Africa,Zambia,2018,rural,0.19820410577901262,0.17260344565217675,0.2238047659058485
Sub-Saharan Africa,Eastern Africa,Zimbabwe,2015,urban,0.06469091062572103,0.04723343779288853,0.08214838345855355
Sub-Saharan Africa,Eastern Africa,Zimbabwe,2015,rural,0.2643966683586991,0.2317308522952629,0.29706248442213534
Sub-Saharan Africa,Middle Africa,Angola,2015,urban,0.34592046554275424,0.31362592251419386,0.3782150085713146
Sub-Saharan Africa,Middle Africa,Angola,2015,rural,0.8137421296238566,0.784198040193083,0.8432862190546302
Sub-Saharan Africa,Middle Africa,Cameroon,2018,urban,0.11386747308484534,0.08280549246159685,0.14492945370809382
Sub-Saharan Africa,Middle Africa,Cameroon,2018,rural,0.5002463159790645,0.44155082568041815,0.558941806277711
Sub-Saharan Africa,Middle Africa,Chad,2014,urban,0.4521911657059298,0.40200917952276816,0.5023731518890915
Sub-Saharan Africa,Middle Africa,Chad,2014,rural,0.8525954342541467,0.8315290120090579,0.8736618564992356
Sub-Saharan Africa,Middle Africa,Congo,2011,urban,0.02273699850396183,0.013338840028929641,0.032135156978994016
Sub-Saharan Africa,Middle Africa,Congo,2011,rural,0.16622230048979997,0.1340326829742033,0.19841191800539665
Sub-Saharan Africa,Middle Africa,Congo Democratic Republic,2013,urban,0.06071159384870924,0.043149952495614624,0.07827323520180386
Sub-Saharan Africa,Middle Africa,Congo Democratic Republic,2013,rural,0.2429959715722857,0.2035783457959208,0.28241359734865057
Sub-Saharan Africa,Middle Africa,Gabon,2012,urban,0.03340757332493086,0.02453023208880793,0.042284914561053794
Sub-Saharan Africa,Middle Africa,Gabon,2012,rural,0.2739903728715886,0.22387926854198642,0.3241014772011908
Sub-Saharan Africa,Middle Africa,Sao Tome and Principe,2008,urban,0.121837202576569,0.09069986327133955,0.15297454188179846
Sub-Saharan Africa,Middle Africa,Sao Tome and Principe,2008,rural,0.25396960744559266,0.20394379669328055,0.30399541819790477
Sub-Saharan Africa,Southern Africa,Eswatini,2006,urban,0.10964983070655887,0.08051017090939752,0.13878949050372022
Sub-Saharan Africa,Southern Africa,Eswatini,2006,rural,0.2939210911534309,0.26395888818874574,0.32388329411811606
Sub-Saharan Africa,Southern Africa,Lesotho,2014,urban,0.10868356336324966,0.07522776306272205,0.14213936366377727
Sub-Saharan Africa,Southern Africa,Lesotho,2014,rural,0.27976217441326684,0.25274906920530904,0.30677527962122464
Sub-Saharan Africa,Southern Africa,Namibia,2013,urban,0.04240864695045029,0.02944945226526685,0.05536784163563373
Sub-Saharan Africa,Southern Africa,Namibia,2013,rural,0.1904207030112425,0.1627325600992256,0.2181088459232594
Sub-Saharan Africa,Southern Africa,South Africa,2016,urban,0.027303100246217904,0.017357886636295845,0.03724831385613996
Sub-Saharan Africa,Southern Africa,South Africa,2016,rural,0.053131815636863984,0.04006177508800073,0.06620185618572723
Sub-Saharan Africa,Western Africa,Benin,2017,urban,0.09114108076220666,0.0612471978768354,0.12103496364757792
Sub-Saharan Africa,Western Africa,Benin,2017,rural,0.17796590456018777,0.1471682109267533,0.20876359819362222
Sub-Saharan Africa,Western Africa,Burkina Faso,2010,urban,0.0579235229843047,0.043977731279617203,0.0718693146889922
Sub-Saharan Africa,Western Africa,Burkina Faso,2010,rural,0.3870176441142338,0.3541991176896042,0.41983617053886335
Sub-Saharan Africa,Western Africa,Cote d'Ivoire,2012,urban,0.16199454473394953,0.13269322372997355,0.1912958657379255
Sub-Saharan Africa,Western Africa,Cote d'Ivoire,2012,rural,0.5531038401578687,0.5088525422826786,0.5973551380330588
Sub-Saharan Africa,Western Africa,Gambia,2013,urban,0.15997202542406358,0.13024516960229976,0.1896988812458274
Sub-Saharan Africa,Western Africa,Gambia,2013,rural,0.5537111782702404,0.5080802518687839,0.5993421046716969
Sub-Saharan Africa,Western Africa,Ghana,2014,urban,0.09403801365285169,0.06979103120846551,0.11828499609723787
Sub-Saharan Africa,Western Africa,Ghana,2014,rural,0.4063191986778026,0.3599111676838663,0.4527272296717389
Sub-Saharan Africa,Western Africa,Guinea,2018,urban,0.15779023003789916,0.13307929407227717,0.18250116600352115
Sub-Saharan Africa,Western Africa,Guinea,2018,rural,0.598448161676435,0.5573163980269803,0.6395799253258897
Sub-Saharan Africa,Western Africa,Liberia,2013,urban,0.33605078015213197,0.2778917243451094,0.39420983595915454
Sub-Saharan Africa,Western Africa,Liberia,2013,rural,0.5351207621650875,0.49423491860571667,0.5760066057244584
Sub-Saharan Africa,Western Africa,Mali,2018,urban,0.06557860609656675,0.036573886025738675,0.09458332616739483
Sub-Saharan Africa,Western Africa,Mali,2018,rural,0.39390994153807757,0.348039964453391,0.4397799186227641
Sub-Saharan Africa,Western Africa,Niger,2012,urban,0.1650726640936814,0.13550746135386924,0.19463786683349357
Sub-Saharan Africa,Western Africa,Niger,2012,rural,0.7756658050265934,0.7504959280808298,0.8008356819723571
Sub-Saharan Africa,Western Africa,Nigeria,2018,urban,0.3634477861026978,0.32944453814754743,0.39745103405784815
Sub-Saharan Africa,Western Africa,Nigeria,2018,rural,0.7319858245845874,0.7096581285441041,0.7543135206250706
Sub-Saharan Africa,Western Africa,Senegal,2018,urban,0.043372227865927,0.026781479460319172,0.05996297627153484
Sub-Saharan Africa,Western Africa,Senegal,2018,rural,0.2616628417501913,0.2190002015156715,0.30432548198471104
Sub-Saharan Africa,Western Africa,Sierra Leone,2013,urban,0.30449982753366756,0.2558902719531585,0.3531093831141766
Sub-Saharan Africa,Western Africa,Sierra Leone,2013,rural,0.4915451085289319,0.44784538651990463,0.5352448305379591
Sub-Saharan Africa,Western Africa,Togo,2013,urban,0.05698685496716009,0.033847207523792396,0.0801265024105278
Sub-Saharan Africa,Western Africa,Togo,2013,rural,0.38682940190128384,0.34496847888160637,0.4286903249209613
